t_DVL,WX,WY,WZ,t_filter,PN,PE
t_DVL,WX,WY,WZ,t_filter,PN,PE
03:51.9,-0.199,0.309,0.053,03:51.9,47.5948207,15.24967276
03:52.1,-0.181,0.181,-0.009,03:52.1,47.68596573,15.25208654
03:52.3,-0.367,0.167,0.04,03:52.3,47.7737202,15.25541257
03:52.5,-0.289,0.257,0.031,03:52.5,47.8395909,15.25481354
03:52.7,-0.189,0.291,0.055,03:52.7,47.93044836,15.25090086
03:52.9,-0.323,0.326,0.064,03:52.9,48.02054514,15.24523623
03:53.1,-0.219,0.302,0.046,03:53.1,48.11511592,15.23499779
03:53.3,-0.372,0.321,0.007,03:53.3,48.23361517,15.22212346
03:53.5,-0.413,0.311,0.024,03:53.5,48.33285013,15.20748022
03:53.7,-0.458,0.291,-0.012,03:53.7,48.43530513,15.18984582
03:53.9,-0.509,0.244,-0.01,03:53.8,48.53965668,15.17289522
03:54.1,-0.311,0.345,0.009,03:54.0,48.64591606,15.1540611
03:54.2,-0.299,0.321,0.006,03:54.2,48.7548252,15.13496939
03:54.5,-0.286,0.293,0.028,03:54.4,48.86226732,15.11800003
03:54.7,-0.386,0.322,0.009,03:54.7,48.9727197,15.1028424
03:54.8,-0.319,0.372,0.037,03:54.9,49.08280799,15.0907934
03:55.0,-0.405,0.287,0.07,03:55.0,49.19212573,15.0820435
03:55.2,-0.388,0.287,0.072,03:55.2,49.30064875,15.07672203
03:55.4,-0.32,0.366,0.077,03:55.4,49.3829364,15.07210069
03:55.6,-0.291,0.309,0.06,03:55.6,49.51547792,15.06969322
03:55.8,-0.294,0.171,0.045,03:55.8,49.62426155,15.06804502
03:56.0,-0.207,0.298,0.069,03:56.0,49.72464862,15.07089756
03:56.2,-0.319,0.275,0.124,03:56.2,49.82962088,15.08973396
03:56.4,-0.249,0.294,0.1,03:56.4,49.91669685,15.08719435
03:56.6,-0.252,0.283,0.078,03:56.6,50.00968201,15.0966044
03:56.8,-0.157,0.38,0.063,03:56.8,50.10100906,15.10795948
03:57.0,-0.202,0.305,0.097,03:57.0,50.18874927,15.11953112
03:57.2,-0.249,0.355,0.041,03:57.2,50.2743961,15.12884017
03:57.4,-0.165,0.349,0.043,03:57.4,50.35944597,15.13797349
03:57.6,-0.22,0.34,0.065,03:57.6,50.44492362,15.14480489
03:57.8,-0.23,0.33,0.054,03:57.8,50.54009784,15.14612657
03:58.0,-0.21,0.379,0.028,03:58.0,50.63676534,15.14839027
03:58.2,-0.391,0.22,0.031,03:58.2,50.72389256,15.14712402
03:58.4,-0.333,0.337,0.032,03:58.4,50.81624975,15.14001639
03:58.6,-0.341,0.329,-0.005,03:58.6,50.89119992,15.13207689
03:58.8,-0.336,0.386,0.058,03:58.8,50.98712243,15.12017971
03:59.0,-0.4,0.344,0.042,03:59.0,51.08668355,15.10437675
03:59.2,-0.342,0.291,0.038,03:59.2,51.21113526,15.0857962
